order_id,order_date,customer_name,state,city,price,profit,quantity,category,sub_category,subcat_cost,subcat_revenue,cost_per_unit
B-25634,2018-04-26,Sanjay,Goa,Goa,389.00,-83.00,3,Furniture,Chairs,1250.01,1167.00,416.67
B-25635,2018-04-26,Nidhi,Nagaland,Kohima,40.00,16.00,3,Clothing,Hankerchief,104.01,120.00,34.67
B-25635,2018-04-26,Nidhi,Nagaland,Kohima,23.00,2.00,2,Clothing,Skirt,44.00,46.00,22.00
B-25635,2018-04-26,Nidhi,Nagaland,Kohima,382.00,30.00,3,Clothing,Saree,1116.00,1146.00,372.00
B-25636,2018-04-26,Nishi,Maharashtra,Mumbai,637.00,113.00,5,Clothing,Saree,3072.00,3185.00,614.40
B-25637,2018-04-26,Ashmi,Madhya Pradesh,Indore,117.00,14.00,3,Clothing,Shirt,336.99,351.00,112.33
B-25638,2018-04-26,Parth,Maharashtra,Pune,182.00,-11.00,3,Furniture,Bookcases,557.01,546.00,185.67
B-25638,2018-04-26,Parth,Maharashtra,Pune,880.00,97.00,8,Furniture,Furnishings,6943.04,7040.00,867.88
B-25638,2018-04-26,Parth,Maharashtra,Pune,154.00,39.00,3,Clothing,Hankerchief,423.00,462.00,141.00
B-25638,2018-04-26,Parth,Maharashtra,Pune,816.00,-96.00,3,Electronics,Printers,2544.00,2448.00,848.00
B-25639,2018-04-27,Lisha,Madhya Pradesh,Bhopal,1629.00,-153.00,3,Electronics,Phones,5040.00,4887.00,1680.00
B-25640,2018-04-27,Paridhi,Rajasthan,Jaipur,68.00,-62.00,2,Clothing,Trousers,198.00,136.00,99.00
B-25640,2018-04-27,Paridhi,Rajasthan,Jaipur,314.00,-239.00,13,Clothing,Hankerchief,4320.94,4082.00,332.38
B-25640,2018-04-27,Paridhi,Rajasthan,Jaipur,122.00,-47.00,4,Clothing,Saree,535.00,488.00,133.75
B-25641,2018-04-27,Parishi,West Bengal,Kolkata,22.00,-6.00,1,Furniture,Furnishings,28.00,22.00,28.00
B-25642,2018-04-28,Ajay,Karnataka,Bangalore,434.00,26.00,11,Clothing,Shirt,4748.04,4774.00,431.64
B-25643,2018-04-29,Kirti,Jammu and Kashmir,Kashmir,1061.00,-36.00,8,Furniture,Bookcases,8524.00,8488.00,1065.50
B-25643,2018-04-29,Kirti,Jammu and Kashmir,Kashmir,50.00,-44.00,2,Clothing,Hankerchief,144.00,100.00,72.00
B-25643,2018-04-29,Kirti,Jammu and Kashmir,Kashmir,37.00,-23.00,4,Clothing,Shirt,171.00,148.00,42.75
B-25643,2018-04-29,Kirti,Jammu and Kashmir,Kashmir,263.00,-63.00,2,Electronics,Electronic Games,589.00,526.00,294.50
B-25643,2018-04-29,Kirti,Jammu and Kashmir,Kashmir,36.00,-7.00,1,Electronics,Electronic Games,43.00,36.00,43.00
B-25644,2018-04-30,Mayank,Maharashtra,Mumbai,76.00,-92.00,8,Furniture,Furnishings,700.00,608.00,87.50
B-25645,2018-05-01,Yaanvi,Madhya Pradesh,Indore,273.00,-87.00,4,Electronics,Phones,1179.00,1092.00,294.75
B-25645,2018-05-01,Yaanvi,Madhya Pradesh,Indore,86.00,0.00,4,Clothing,T-shirt,344.00,344.00,86.00
B-25645,2018-05-01,Yaanvi,Madhya Pradesh,Indore,133.00,-42.00,1,Electronics,Printers,175.00,133.00,175.00
B-25645,2018-05-01,Yaanvi,Madhya Pradesh,Indore,183.00,-66.00,5,Electronics,Phones,981.00,915.00,196.20
B-25646,2018-05-01,Sonal,Bihar,Patna,20.00,-8.00,2,Clothing,Saree,48.00,40.00,24.00
B-25647,2018-05-03,Sharda,Kerala ,Thiruvananthapuram,42.00,-6.00,4,Clothing,Saree,174.00,168.00,43.50
B-25648,2018-05-04,Aditya,Punjab,Chandigarh,100.00,-23.00,1,Electronics,Phones,123.00,100.00,123.00
B-25648,2018-05-04,Aditya,Punjab,Chandigarh,30.00,13.00,1,Clothing,T-shirt,17.00,30.00,17.00
B-25648,2018-05-04,Aditya,Punjab,Chandigarh,55.00,-26.00,4,Clothing,Saree,246.00,220.00,61.50
B-25648,2018-05-04,Aditya,Punjab,Chandigarh,130.00,-41.00,4,Clothing,Saree,561.00,520.00,140.25
B-25649,2018-05-05,Rachna,Haryana,Chandigarh,27.00,-25.00,2,Clothing,Stole,79.00,54.00,39.50
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,245.00,-78.00,2,Electronics,Printers,568.00,490.00,284.00
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,211.00,-105.00,2,Clothing,Saree,527.00,422.00,263.50
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,31.00,-2.00,2,Clothing,Saree,64.00,62.00,32.00
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,28.00,-26.00,2,Clothing,Stole,82.00,56.00,41.00
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,512.00,-225.00,5,Clothing,Saree,2785.00,2560.00,557.00
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,925.00,-447.00,5,Electronics,Electronic Games,5072.00,4625.00,1014.40
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,238.00,20.00,2,Clothing,Saree,456.00,476.00,228.00
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,351.00,-47.00,8,Electronics,Phones,2855.04,2808.00,356.88
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,269.00,111.00,3,Clothing,Trousers,696.00,807.00,232.00
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,200.00,-60.00,4,Furniture,Bookcases,860.00,800.00,215.00
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,44.00,-8.00,3,Clothing,Stole,140.01,132.00,46.67
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,7.00,0.00,1,Clothing,Leggings,7.00,7.00,7.00
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,11.00,-4.00,2,Clothing,Skirt,26.00,22.00,13.00
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,16.00,-10.00,2,Clothing,T-shirt,42.00,32.00,21.00
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,172.00,-103.00,3,Furniture,Chairs,618.99,516.00,206.33
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,49.00,3.00,1,Clothing,Shirt,46.00,49.00,46.00
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,823.00,-18.00,7,Furniture,Chairs,5778.99,5761.00,825.57
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,23.00,4.00,1,Clothing,Saree,19.00,23.00,19.00
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,457.00,-41.00,4,Clothing,Saree,1869.00,1828.00,467.25
B-25652,2018-05-08,Tushina,Goa,Goa,24.00,-21.00,7,Clothing,Skirt,189.00,168.00,27.00
B-25652,2018-05-08,Tushina,Goa,Goa,25.00,-2.00,5,Clothing,Hankerchief,127.00,125.00,25.40
B-25652,2018-05-08,Tushina,Goa,Goa,174.00,-70.00,3,Electronics,Accessories,591.99,522.00,197.33
B-25652,2018-05-08,Tushina,Goa,Goa,206.00,-206.00,3,Clothing,Saree,824.01,618.00,274.67
B-25652,2018-05-08,Tushina,Goa,Goa,21.00,-13.00,3,Clothing,Leggings,75.99,63.00,25.33
B-25652,2018-05-08,Tushina,Goa,Goa,34.00,-6.00,4,Clothing,Leggings,142.00,136.00,35.50
B-25652,2018-05-08,Tushina,Goa,Goa,9.00,-6.00,2,Clothing,Hankerchief,24.00,18.00,12.00
B-25653,2018-05-08,Farah,Nagaland,Kohima,1279.00,-640.00,8,Electronics,Printers,10872.00,10232.00,1359.00
B-25653,2018-05-08,Farah,Nagaland,Kohima,28.00,-3.00,2,Clothing,Saree,59.00,56.00,29.50
B-25653,2018-05-08,Farah,Nagaland,Kohima,427.00,-50.00,7,Electronics,Phones,3038.98,2989.00,434.14
B-25653,2018-05-08,Farah,Nagaland,Kohima,168.00,-10.00,3,Electronics,Accessories,513.99,504.00,171.33
B-25653,2018-05-08,Farah,Nagaland,Kohima,1327.00,318.00,8,Furniture,Chairs,10298.00,10616.00,1287.25
B-25653,2018-05-08,Farah,Nagaland,Kohima,195.00,-117.00,5,Electronics,Phones,1092.00,975.00,218.40
B-25653,2018-05-08,Farah,Nagaland,Kohima,115.00,25.00,1,Electronics,Accessories,90.00,115.00,90.00
B-25653,2018-05-08,Farah,Nagaland,Kohima,668.00,-31.00,3,Electronics,Printers,2034.99,2004.00,678.33
B-25653,2018-05-08,Farah,Nagaland,Kohima,227.00,102.00,8,Electronics,Accessories,1714.00,1816.00,214.25
B-25654,2018-05-10,Sabah,Maharashtra,Mumbai,34.00,12.00,3,Clothing,Hankerchief,90.00,102.00,30.00
B-25654,2018-05-10,Sabah,Maharashtra,Mumbai,229.00,-23.00,2,Clothing,Saree,481.00,458.00,240.50
B-25654,2018-05-10,Sabah,Maharashtra,Mumbai,54.00,-3.00,3,Clothing,Saree,165.00,162.00,55.00
B-25654,2018-05-10,Sabah,Maharashtra,Mumbai,269.00,-86.00,2,Electronics,Electronic Games,624.00,538.00,312.00
B-25654,2018-05-10,Sabah,Maharashtra,Mumbai,122.00,-21.00,3,Furniture,Furnishings,387.00,366.00,129.00
B-25654,2018-05-10,Sabah,Maharashtra,Mumbai,105.00,46.00,2,Clothing,Stole,164.00,210.00,82.00
B-25654,2018-05-10,Sabah,Maharashtra,Mumbai,450.00,-90.00,3,Electronics,Printers,1440.00,1350.00,480.00
B-25654,2018-05-10,Sabah,Maharashtra,Mumbai,121.00,-17.00,3,Furniture,Furnishings,380.01,363.00,126.67
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,44.00,-26.00,3,Clothing,Hankerchief,158.01,132.00,52.67
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,7.00,-4.00,3,Clothing,Hankerchief,24.99,21.00,8.33
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,396.00,-31.00,9,Clothing,Saree,3594.96,3564.00,399.44
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,97.00,-62.00,2,Clothing,Trousers,256.00,194.00,128.00
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,110.00,-68.00,4,Clothing,Saree,508.00,440.00,127.00
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,312.00,-312.00,7,Furniture,Chairs,2495.99,2184.00,356.57
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,9.00,-6.00,2,Clothing,Skirt,24.00,18.00,12.00
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,6.00,-3.00,1,Clothing,Hankerchief,9.00,6.00,9.00
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,74.00,23.00,8,Clothing,Skirt,569.04,592.00,71.13
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,534.00,0.00,3,Clothing,Saree,1602.00,1602.00,534.00
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,30.00,-5.00,5,Clothing,Stole,155.00,150.00,31.00
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,61.00,-23.00,2,Clothing,Saree,145.00,122.00,72.50
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,6.00,3.00,1,Clothing,Hankerchief,3.00,6.00,3.00
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,24.00,-1.00,2,Clothing,Hankerchief,49.00,48.00,24.50
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,56.00,18.00,2,Clothing,Hankerchief,94.00,112.00,47.00
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,406.00,126.00,2,Clothing,Saree,686.00,812.00,343.00
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,624.00,37.00,2,Electronics,Electronic Games,1211.00,1248.00,605.50
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,101.00,18.00,9,Clothing,Skirt,891.00,909.00,99.00
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,1389.00,680.00,7,Clothing,Saree,9043.02,9723.00,1291.86
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,651.00,169.00,5,Electronics,Printers,3086.00,3255.00,617.20
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,13.00,-1.00,3,Clothing,Hankerchief,39.99,39.00,13.33
B-25657,2018-05-13,Tulika,Madhya Pradesh,Bhopal,1021.00,-48.00,4,Electronics,Electronic Games,4132.00,4084.00,1033.00
B-25657,2018-05-13,Tulika,Madhya Pradesh,Bhopal,32.00,-22.00,5,Clothing,Saree,182.00,160.00,36.40
B-25657,2018-05-13,Tulika,Madhya Pradesh,Bhopal,332.00,-43.00,6,Electronics,Phones,2035.02,1992.00,339.17
B-25657,2018-05-13,Tulika,Madhya Pradesh,Bhopal,288.00,-180.00,4,Furniture,Chairs,1332.00,1152.00,333.00
B-25658,2018-05-14,Shefali,Rajasthan,Jaipur,27.00,9.00,2,Clothing,T-shirt,45.00,54.00,22.50
B-25659,2018-05-15,Sanskriti,West Bengal,Kolkata,148.00,72.00,7,Clothing,T-shirt,963.97,1036.00,137.71
B-25660,2018-05-16,Shruti,Karnataka,Bangalore,245.00,-78.00,3,Clothing,Saree,813.00,735.00,271.00
B-25661,2018-05-17,Subhashree,Jammu and Kashmir,Kashmir,19.00,-15.00,3,Clothing,Hankerchief,72.00,57.00,24.00
B-25661,2018-05-17,Subhashree,Jammu and Kashmir,Kashmir,224.00,-81.00,3,Furniture,Chairs,753.00,672.00,251.00
B-25661,2018-05-17,Subhashree,Jammu and Kashmir,Kashmir,58.00,-42.00,2,Furniture,Chairs,158.00,116.00,79.00
B-25661,2018-05-17,Subhashree,Jammu and Kashmir,Kashmir,145.00,-104.00,5,Furniture,Chairs,829.00,725.00,165.80
B-25661,2018-05-17,Subhashree,Jammu and Kashmir,Kashmir,55.00,-33.00,2,Furniture,Chairs,143.00,110.00,71.50
B-25661,2018-05-17,Subhashree,Jammu and Kashmir,Kashmir,7.00,-1.00,2,Clothing,Hankerchief,15.00,14.00,7.50
B-25662,2018-05-17,Sweta,Maharashtra,Mumbai,24.00,-2.00,2,Clothing,T-shirt,50.00,48.00,25.00
B-25662,2018-05-17,Sweta,Maharashtra,Mumbai,86.00,-21.00,1,Electronics,Electronic Games,107.00,86.00,107.00
B-25662,2018-05-17,Sweta,Maharashtra,Mumbai,385.00,-77.00,11,Furniture,Furnishings,4312.00,4235.00,392.00
B-25663,2018-05-19,Pournamasi,Madhya Pradesh,Indore,294.00,138.00,2,Electronics,Printers,450.00,588.00,225.00
B-25664,2018-05-20,Pratyusmita,Bihar,Patna,444.00,-200.00,4,Electronics,Phones,1976.00,1776.00,494.00
B-25664,2018-05-20,Pratyusmita,Bihar,Patna,785.00,52.00,2,Electronics,Phones,1518.00,1570.00,759.00
B-25664,2018-05-20,Pratyusmita,Bihar,Patna,258.00,-27.00,2,Electronics,Phones,543.00,516.00,271.50
B-25664,2018-05-20,Pratyusmita,Bihar,Patna,83.00,-48.00,1,Furniture,Bookcases,131.00,83.00,131.00
B-25665,2018-05-21,Chayanika,Kerala ,Thiruvananthapuram,166.00,-113.00,4,Electronics,Accessories,777.00,664.00,194.25
B-25666,2018-05-22,Tanvi,Punjab,Chandigarh,934.00,-916.00,7,Electronics,Electronic Games,7454.02,6538.00,1064.86
B-25667,2018-05-23,Anjali,Haryana,Chandigarh,11.00,-2.00,4,Clothing,Hankerchief,46.00,44.00,11.50
B-25667,2018-05-23,Anjali,Haryana,Chandigarh,41.00,6.00,5,Clothing,Skirt,199.00,205.00,39.80
B-25667,2018-05-23,Anjali,Haryana,Chandigarh,344.00,-34.00,3,Clothing,Saree,1065.99,1032.00,355.33
B-25667,2018-05-23,Anjali,Haryana,Chandigarh,1030.00,206.00,8,Electronics,Printers,8034.00,8240.00,1004.25
B-25667,2018-05-23,Anjali,Haryana,Chandigarh,516.00,69.00,4,Furniture,Bookcases,1995.00,2064.00,498.75
B-25668,2018-05-24,Rhea,Himachal Pradesh,Simla,123.00,17.00,3,Furniture,Furnishings,351.99,369.00,117.33
B-25669,2018-05-25,Piyali,Sikkim,Gangtok,610.00,-66.00,2,Furniture,Tables,1286.00,1220.00,643.00
B-25670,2018-05-25,Charika,Goa,Goa,74.00,29.00,3,Clothing,Stole,192.99,222.00,64.33
B-25670,2018-05-25,Charika,Goa,Goa,24.00,1.00,2,Clothing,Hankerchief,47.00,48.00,23.50
B-25670,2018-05-25,Charika,Goa,Goa,14.00,2.00,1,Clothing,Hankerchief,12.00,14.00,12.00
B-25670,2018-05-25,Charika,Goa,Goa,656.00,-36.00,2,Furniture,Bookcases,1348.00,1312.00,674.00
B-25671,2018-05-27,Mitali,Nagaland,Kohima,832.00,0.00,3,Clothing,Trousers,2496.00,2496.00,832.00
B-25673,2018-05-28,Arsheen,Gujarat,Ahmedabad,143.00,-124.00,5,Clothing,Saree,839.00,715.00,167.80
B-25673,2018-05-28,Arsheen,Gujarat,Ahmedabad,44.00,-17.00,5,Clothing,Saree,237.00,220.00,47.40
B-25673,2018-05-28,Arsheen,Gujarat,Ahmedabad,45.00,-2.00,4,Clothing,Shirt,182.00,180.00,45.50
B-25673,2018-05-28,Arsheen,Gujarat,Ahmedabad,16.00,-1.00,1,Clothing,Saree,17.00,16.00,17.00
B-25673,2018-05-28,Arsheen,Gujarat,Ahmedabad,37.00,-5.00,3,Clothing,T-shirt,116.01,111.00,38.67
B-25674,2018-05-28,Mahima,Maharashtra,Pune,17.00,-12.00,5,Clothing,Skirt,97.00,85.00,19.40
B-25675,2018-05-31,Shreya,Madhya Pradesh,Bhopal,929.00,-93.00,9,Clothing,Saree,8453.97,8361.00,939.33
B-25676,2018-06-01,Chandni,Rajasthan,Jaipur,342.00,-103.00,4,Electronics,Electronic Games,1471.00,1368.00,367.75
B-25676,2018-06-01,Chandni,Rajasthan,Jaipur,1263.00,-56.00,5,Clothing,Trousers,6371.00,6315.00,1274.20
B-25676,2018-06-01,Chandni,Rajasthan,Jaipur,674.00,-187.00,2,Furniture,Tables,1535.00,1348.00,767.50
B-25676,2018-06-01,Chandni,Rajasthan,Jaipur,32.00,6.00,3,Clothing,Shirt,90.00,96.00,30.00
B-25676,2018-06-01,Chandni,Rajasthan,Jaipur,79.00,36.00,4,Clothing,Shirt,280.00,316.00,70.00
B-25677,2018-06-02,Ekta,West Bengal,Kolkata,20.00,-2.00,1,Electronics,Accessories,22.00,20.00,22.00
B-25678,2018-06-03,Bathina,Karnataka,Bangalore,64.00,-7.00,3,Clothing,Saree,198.99,192.00,66.33
B-25678,2018-06-03,Bathina,Karnataka,Bangalore,7.00,-3.00,2,Clothing,Skirt,17.00,14.00,8.50
B-25678,2018-06-03,Bathina,Karnataka,Bangalore,327.00,-39.00,1,Electronics,Phones,366.00,327.00,366.00
B-25678,2018-06-03,Bathina,Karnataka,Bangalore,27.00,-25.00,2,Clothing,Shirt,79.00,54.00,39.50
B-25679,2018-06-04,Avni,Maharashtra,Mumbai,76.00,-50.00,1,Clothing,Saree,126.00,76.00,126.00
B-25680,2018-06-04,Aayushi,Madhya Pradesh,Indore,73.00,-25.00,3,Clothing,Saree,243.99,219.00,81.33
B-25681,2018-06-04,Bhawna,Madhya Pradesh,Indore,68.00,-27.00,3,Electronics,Accessories,231.00,204.00,77.00
B-25681,2018-06-04,Bhawna,Madhya Pradesh,Indore,523.00,204.00,7,Clothing,Trousers,3457.02,3661.00,493.86
B-25681,2018-06-04,Bhawna,Madhya Pradesh,Indore,44.00,-3.00,1,Clothing,Saree,47.00,44.00,47.00
B-25681,2018-06-04,Bhawna,Madhya Pradesh,Indore,243.00,-14.00,2,Furniture,Chairs,500.00,486.00,250.00
B-25681,2018-06-04,Bhawna,Madhya Pradesh,Indore,1625.00,-77.00,3,Electronics,Phones,4952.01,4875.00,1650.67
B-25681,2018-06-04,Bhawna,Madhya Pradesh,Indore,1096.00,-658.00,7,Electronics,Electronic Games,8330.00,7672.00,1190.00
B-25682,2018-06-07,Krutika,Bihar,Patna,545.00,-73.00,11,Electronics,Phones,6068.04,5995.00,551.64
B-25683,2018-06-08,Shreya,Kerala ,Thiruvananthapuram,433.00,26.00,3,Electronics,Printers,1272.99,1299.00,424.33
B-25683,2018-06-08,Shreya,Kerala ,Thiruvananthapuram,245.00,-3.00,4,Electronics,Phones,983.00,980.00,245.75
B-25683,2018-06-08,Shreya,Kerala ,Thiruvananthapuram,155.00,56.00,3,Furniture,Furnishings,408.99,465.00,136.33
B-25683,2018-06-08,Shreya,Kerala ,Thiruvananthapuram,148.00,52.00,5,Clothing,Stole,688.00,740.00,137.60
B-25683,2018-06-08,Shreya,Kerala ,Thiruvananthapuram,86.00,-55.00,6,Clothing,Saree,571.02,516.00,95.17
B-25684,2018-06-09,Samiksha,Maharashtra,Mumbai,134.00,42.00,2,Furniture,Chairs,226.00,268.00,113.00
B-25685,2018-06-10,Sheetal,Madhya Pradesh,Indore,51.00,7.00,2,Furniture,Furnishings,95.00,102.00,47.50
B-25685,2018-06-10,Sheetal,Madhya Pradesh,Indore,529.00,137.00,3,Electronics,Phones,1449.99,1587.00,483.33
B-25685,2018-06-10,Sheetal,Madhya Pradesh,Indore,264.00,-30.00,3,Furniture,Furnishings,822.00,792.00,274.00
B-25685,2018-06-10,Sheetal,Madhya Pradesh,Indore,45.00,-2.00,4,Clothing,Shirt,182.00,180.00,45.50
B-25686,2018-06-11,Pooja,Himachal Pradesh,Simla,381.00,-13.00,2,Clothing,Saree,775.00,762.00,387.50
